Código;Job;PID;Node;Cenário;Data Início;Data Fim;Total (s)
352326;JOB_NASA_CME_NF;3160;N1;newvisionapp;22/12/2025 09:03;22/12/2025 09:03;00:00:12
352325;JOB_NASA_CME_NF;4600;N1;newvisionapp;22/12/2025 09:03;22/12/2025 09:03;00:00:12
352324;JOB_NASA_CME_NF;6616;N1;newvisionapp;22/12/2025 09:02;22/12/2025 09:02;00:00:12
352323;JOB_NASA_CME_NF;8;N1;newvisionapp;22/12/2025 09:02;22/12/2025 09:02;00:00:12
352322;JOB_NASA_CME_NF;3040;N1;newvisionapp;22/12/2025 09:02;22/12/2025 09:02;00:00:12
352321;JOB_NASA_VA;59776;N2;SD_J4GL_VA22_VA41;22/12/2025 09:02;22/12/2025 09:04;00:02:19
352320;JOB_NASA_CME_NF;5840;N1;newvisionapp;22/12/2025 09:02;22/12/2025 09:02;00:00:12
352319;JOB_NASA_VA;39124;N2;newvisionapp;22/12/2025 09:01;22/12/2025 09:06;00:04:38
352318;JOB_NASA_CME_NF;4744;N1;SD_NF;22/12/2025 09:00;22/12/2025 09:01;00:01:27
352317;JOB_NASA_CME_NF;3476;N1;newvisionapp;22/12/2025 09:00;22/12/2025 09:01;00:01:37
352316;JOB_NASA_CME_NF;5496;N1;SD_NF;22/12/2025 08:58;22/12/2025 09:00;00:01:29
352315;JOB_NASA_CME_NF;4592;N1;newvisionapp;22/12/2025 08:58;22/12/2025 09:00;00:01:37
352314;JOB_NASA_CME_NF;468;N1;SD_NF;22/12/2025 08:56;22/12/2025 08:58;00:01:29
352313;JOB_NASA_CME_NF;1836;N1;newvisionapp;22/12/2025 08:56;22/12/2025 08:58;00:01:37
352312;JOB_SD_ZVF31_ECP;1048;N1;SD_ZVF31_REST;22/12/2025 08:56;22/12/2025 08:56;00:00:04
352311;JOB_SD_ZVF31_ECP;4340;N1;SD_ZVF31_SQL;22/12/2025 08:56;22/12/2025 08:56;00:00:26
352310;JOB_SD_ZVF31_ECP;4208;N1;newvisionapp;22/12/2025 08:55;22/12/2025 08:56;00:00:59
352309;JOB_SD_ZVF31_ECP;2072;N1;SD_ZVF31_REST;22/12/2025 08:55;22/12/2025 08:55;00:00:05
352308;JOB_SD_ZVF31_ECP;2436;N1;SD_ZVF31_SQL;22/12/2025 08:55;22/12/2025 08:55;00:00:27
352307;JOB_SD_ZVF31_ECP;392;N1;newvisionapp;22/12/2025 08:54;22/12/2025 08:55;00:00:57
352306;JOB_NASA_CME_NF;6408;N1;newvisionapp;22/12/2025 08:54;22/12/2025 08:54;00:00:12
352305;JOB_NASA_CME_NF;2504;N1;SD_NF;22/12/2025 08:52;22/12/2025 08:54;00:01:31
352304;JOB_NASA_CME_NF;6788;N1;newvisionapp;22/12/2025 08:52;22/12/2025 08:54;00:01:42
352303;JOB_NASA_VA;59828;N2;SD_J3GH_IE02;22/12/2025 08:52;22/12/2025 08:53;00:01:42
352302;JOB_NASA_VA;64576;N2;SD_J4GL_VA22_VA41;22/12/2025 08:50;22/12/2025 08:52;00:01:52
352301;JOB_NASA_VA;63900;N2;newvisionapp;22/12/2025 08:49;22/12/2025 08:53;00:03:59
352300;JOB_NASA_VA;61416;N2;newvisionapp;22/12/2025 08:48;22/12/2025 08:49;00:00:38
352299;JOB_NASA_VA;53776;N2;SD_J4GL_VA22_VA41;22/12/2025 08:48;22/12/2025 08:48;00:00:40
352298;JOB_NASA_VA;60720;N2;newvisionapp;22/12/2025 08:47;22/12/2025 08:48;00:00:59
352297;JOB_NASA_VA;35960;N2;SD_J3GH_IE02;22/12/2025 08:46;22/12/2025 08:48;00:01:51
352296;JOB_NASA_VA;63560;N2;newvisionapp;22/12/2025 08:44;22/12/2025 08:45;00:00:37
352295;JOB_NASA_VA;39372;N2;SD_J4GL_VA22_VA41;22/12/2025 08:44;22/12/2025 08:46;00:01:50
352294;JOB_NASA_VA;60400;N2;newvisionapp;22/12/2025 08:43;22/12/2025 08:48;00:04:07
352293;JOB_NASA_VA;59820;N2;SD_J4GL_VA22_VA41;22/12/2025 08:43;22/12/2025 08:43;00:00:21
352292;JOB_NASA_VA;59304;N2;newvisionapp;22/12/2025 08:42;22/12/2025 08:43;00:00:59
352291;JOB_NASA_J3GH;62012;N2;newvisionapp;22/12/2025 08:33;22/12/2025 08:34;00:00:36
352290;JOB_NASA_VA;65440;N2;SD_J4GL_VA22_VA41;22/12/2025 08:32;22/12/2025 08:33;00:01:39
352289;JOB_NASA_VA;62232;N2;newvisionapp;22/12/2025 08:31;22/12/2025 08:34;00:02:37
352288;JOB_NASA_VA;57352;N2;SD_J3GH_IE02;22/12/2025 08:27;22/12/2025 08:40;00:13:01
352287;JOB_NASA_VA;56368;N2;SD_J4GL_VA22_VA41;22/12/2025 08:25;22/12/2025 08:40;00:14:49
352286;JOB_NASA_VA;63156;N2;newvisionapp;22/12/2025 08:24;22/12/2025 08:40;00:15:07
352285;JOB_NASA_VA;64008;N2;SD_J3GH_IE02;22/12/2025 08:23;22/12/2025 08:25;00:01:45
352284;JOB_NASA_VA;36452;N2;SD_J4GL_VA22_VA41;22/12/2025 08:21;22/12/2025 08:23;00:02:20
352283;JOB_NASA_VA;60288;N2;newvisionapp;22/12/2025 08:20;22/12/2025 08:25;00:04:37
352282;JOB_NASA_VA;58172;N2;SD_J4GL_VA22_VA41;22/12/2025 08:20;22/12/2025 08:21;00:01:44
352281;JOB_NASA_VA;62212;N2;newvisionapp;22/12/2025 08:19;22/12/2025 08:22;00:02:07
352280;JOB_NASA_VA;59740;N2;SD_J3GH_IE02;22/12/2025 08:12;22/12/2025 08:13;00:01:22
352279;JOB_NASA_VA;59736;N2;SD_J3GH_IE02;22/12/2025 08:10;22/12/2025 08:11;00:01:13
352278;JOB_NASA_VA;61724;N2;SD_J4GL_VA22_VA41;22/12/2025 08:10;22/12/2025 08:11;00:01:39
352277;JOB_NASA_VA;64252;N2;newvisionapp;22/12/2025 08:09;22/12/2025 08:13;00:03:37
352276;JOB_NASA_VA;59748;N2;SD_J4GL_VA22_VA41;22/12/2025 08:08;22/12/2025 08:10;00:02:20
352275;JOB_NASA_VA;63572;N2;newvisionapp;22/12/2025 08:07;22/12/2025 08:11;00:03:38
352274;JOB_NASA_VA;64676;N2;SD_J4GL_VA22_VA41;22/12/2025 08:01;22/12/2025 08:03;00:02:21
352273;JOB_NASA_VA;63392;N2;newvisionapp;22/12/2025 08:00;22/12/2025 08:03;00:02:37
352272;JOB_NASA_VA;55160;N2;SD_J3GH_IE02;22/12/2025 07:52;22/12/2025 07:53;00:01:24
352271;JOB_NASA_VA;61080;N2;SD_J4GL_VA22_VA41;22/12/2025 07:50;22/12/2025 07:51;00:01:44
352270;JOB_NASA_VA;62532;N2;newvisionapp;22/12/2025 07:49;22/12/2025 07:53;00:03:37
352269;JOB_NASA_VA;59404;N2;SD_J3GH_IE02;22/12/2025 07:43;22/12/2025 07:44;00:01:26
352268;JOB_NASA_VA;35960;N2;SD_J4GL_VA22_VA41;22/12/2025 07:41;22/12/2025 07:42;00:01:44
352267;JOB_NASA_VA;64800;N2;newvisionapp;22/12/2025 07:40;22/12/2025 07:44;00:03:37
352266;JOB_NASA_VA;53568;N2;SD_J3GH_IE02;22/12/2025 07:35;22/12/2025 07:36;00:01:42
352265;JOB_NASA_VA;65368;N2;SD_J4GL_VA22_VA41;22/12/2025 07:33;22/12/2025 07:35;00:01:49
